# 
# MPI_Allreduce microbenchmark
#
# 16 runs per datapoint
#
# nodes         
128             281.602         281.601 281.61 281.735
256             281.899         281.996 282.022 282.13
512             282.196         282.389 282.432 282.524
1024            282.493         282.783 282.8 283.05
2048            282.79          283.178 283.328 283.577
4096            283.087         283.573 283.888 284.237
8192            283.383         283.968 284.543 285.43
16384           283.68          284.368 284.943 286.03
32768           -               - - -
65536           -               - - -
131072          -               - - -
