# Lulesh input performance
# 16 total runs per datapoint
#
# nodes no-noise
64      125.901         125.901 125.901 125.901
128     125.911         125.911 125.911 125.911
256     125.922         125.922 125.922 125.922
512     125.933         125.922 125.922 125.922
1024    125.943         125.943 125.958 126.06
2048    125.954         125.954 125.97 126.089
4096    125.964         125.964 126.121 126.605
8192    125.975         125.975 126.179 126.505
16384   125.986         126.127 126.577 127.014
32768   125.996         - - -
65536   -               - - -
131072  -               - - -
