# 
# MPI_Reduce microbenchmark
# 16 runs per datapoint
#
# nodes         
128             282.526         282.526 282.526 282.526
256             282.639         282.639 282.639 282.639
512             282.751         282.751 282.757 282.849
1024            282.864         282.864 282.864 282.864
2048            282.977         282.977 282.985 283.062
4096            283.09          283.09 283.092 283.13
8192            283.202         283.202 283.241 283.325
16384           283.315         283.315 283.355 283.444
32768           283.428         283.428 283.501 283.559
65536           283.541         283.564 283.618 283.67
131072          -               - - -
