# CTH ST performance 
# 
# nodes         no-noise
128             235.311         235.18 235.188 235.306
256             235.426         235.352 235.382 235.417
512             235.853         235.489 235.591 235.89
1024            236.043         235.657 235.727 235.857
2048            236.246         235.883 235.98 236.13
4096            236.564         236.015 236.225 236.47
8192            236.794         236.221 236.573 236.883
16384           236.988         236.56 236.93 237.333
32768           237.187         236.84 237.26 237.712
65536           237.372         - - -
131072          237.564         - - -
