# CTH ST performance 
# 
# nodes         no-noise
128             235.311         235.178 235.18 235.183
256             235.426         235.342 235.378 235.398
512             235.853         235.519 235.545 235.572
1024            236.043         235.671 235.701 235.747
2048            236.246         235.854 235.943 236.005
4096            236.564         236.092 236.12 236.211
8192            236.794         236.268 236.316 236.369
16384           236.988         236.462 236.514 236.574
32768           237.187         236.684 236.726 236.775
65536           237.372         - - -
131072          237.564         - - -
