# 
# MPI_Reduce microbenchmark
# 16 runs per datapoint
#
# nodes         
128             282.526         282.526 282.526 282.527
256             282.639         282.639 282.639 282.639
512             282.751         282.751 282.752 282.753
1024            282.864         282.864 282.864 282.865
2048            282.977         282.977 282.977 282.97
4096            283.09          283.09 283.09 283.091
8192            283.202         283.202 283.203 283.204
16384           283.315         283.315 283.316 283.317
32768           283.428         283.428 283.429 283.429
65536           283.541         283.541 283.541 283.542
131072          -               - - -
