# Lulesh input performance
# 16 total runs per datapoint
#
# nodes no-noise
64      125.901         125.901 125.902 125.903
128     125.911         125.911 125.912 125.914
256     125.922         125.923 125.924 125.926
512     125.933         125.936 125.939 125.942
1024    125.943         125.955 125.96 125.965
2048    125.954         125.977 125.983 125.986
4096    125.964         126.001 126.012 126.022
8192    125.975         126.049 126.055 126.065
16384   125.986         126.109 126.12 126.137
32768   125.996         - - -
65536   -               - - -
131072  -               - - -
