# LAMMPS crack input performance 
# 16 total runs
# nodes         no-noise
64              49.42           49.4519 49.4534 49.4555
128             49.4804         49.5132 49.515 49.5177
256             49.5634         49.5867 49.5898 49.5968
512             49.6485         49.6654 49.6695 49.676
1024            49.7369         49.7469 49.7542 49.7618 
2048            49.8292         49.8443 49.8532 49.8629
4096            49.9219         49.9546 49.9732 49.9836
8192            50.0112         50.1244 50.1388 50.1537
16384           50.1008         50.3682 50.3932 50.4186
32768           50.1915         50.7586 50.7878 50.8075
65536           50.2725         - - - 
131072          -               - - -
