# 
# 3-dimensional, 27ppt halo exchange (stencil)
# 16 runs per datapoint
#
# nodes         
64              466.278         466.278 466.278 466.278
128             466.278         466.278 466.523 467.123
256             466.278         466.278 466.365 466.87
512             466.278         466.278 466.441 467.123
1024            466.278         466.278 466.575 466.885
2048            466.278         466.278 466.752 467.127
4096            466.278         466.654 466.909 467.127
8192            466.278         466.654 466.929 467.297
16384           466.278         466.868 467.092 467.257
32768           466.278         - - -
65536           466.278         - - -
131072          466.278         - - -
