# Lulesh input performance
# 16 total runs per datapoint
#
# nodes no-noise
64      125.901         125.901 125.901 125.901
128     125.911         125.911 125.911 125.911
256     125.922         125.922 125.922 125.923
512     125.933         125.933 125.933 125.934
1024    125.943         125.943 125.945 125.949
2048    125.954         125.954 125.959 125.966
4096    125.964         125.964 125.973 125.982
8192    125.975         125.975 125.989 125.997
16384   125.986         126.001 126.009 126.014
32768   125.996         - - -
65536   -               - - -
131072  -               - - -
