# Lulesh input performance
# 16 total runs per datapoint
#
# nodes no-noise
64      125.901         125.901 125.901 125.901
128     125.911         125.911 125.911 125.912
256     125.922         125.922 125.922 125.923
512     125.933         125.933 125.934 125.936
1024    125.943         125.943 125.947 125.951
2048    125.954         125.955 125.964 125.968
4096    125.964         125.98 125.983 125.985
8192    125.975         125.991 126 126.003
16384   125.986         126.014 126.021 126.026
32768   125.996         - - -
65536   -               - - -
131072  -               - - -
