# LAMMPS LJ input performance
# 16 total runs per datapoint
#
# nodes no-noise
128     228.472         228.482 228.741 228.965
256     228.473         228.636 228.993 229.328
512     228.474         228.792 229.134 229.578
1024    228.475         229.207 229.533 229.919 
2048    228.476         229.317 229.535 229.934
4096    228.476         229.477 229.896 230.341
8192    228.477         229.709 230.116 230.573
16384   228.478         230.041 230.434 230.966
32768   228.479         230.311 230.961 231.372
65536   228.48          231.202 231.655 232.244
131072  228.481         231.762 232.51 233.472
