# CTH ST performance 
# 
# nodes         no-noise
128             235.311         235.207 235.536 235.717
256             235.426         235.438 235.832 236.158
512             235.853         235.978 236.376 237.233
1024            236.043         236.867 237.474 238.164
2048            236.246         238.383 239.072 240.414
4096            236.564         241.463 242.369 244.124
8192            236.794         246.638 247.537 248.92
16384           236.988         254.4 256.593 258.508
32768           237.187         265.998 268.964 271.761
65536           237.372         - - -
131072          237.564         - - -
