# 
# miniFE application perfomrance
# 16 runs per datapoint
#
# nodes         
128             304.417         304.417 304.417 304.418
256             304.423         304.423 304.423 304.424
512             304.433         304.433 304.433 304.434
1024            304.44          304.44 304.44 304.45
2048            304.448         304.448 304.448 304.450
4096            304.456         304.456 304.456 304.459
8192            304.463         304.463 304.465 304.468
16384           304.471         304.473 304.476 304.478
32768           304.478         304.484 304.487 304.489
65536           304.488         304.5  304.502 304.507
131072          304.496         304.518 304.524 304.53
