# /lscratch1/kbferre/app-traces/mutrino/miniFE/128/rank-000.txt
 delta	 tstmp
76615	 1501355055329974
454873	 1501355055784847
71529	 1501355055856376
450035	 1501355056306411
75633	 1501355056382044
455610	 1501355056837654
70595	 1501355056908249
451518	 1501355057359767
74917	 1501355057434684
453399	 1501355057888083
71718	 1501355057959801
451392	 1501355058411193
74444	 1501355058485637
454111	 1501355058939748
71912	 1501355059011660
452409	 1501355059464069
73480	 1501355059537549
452907	 1501355059990456
72741	 1501355060063197
452875	 1501355060516072
72732	 1501355060588804
453230	 1501355061042034
73173	 1501355061115207
453667	 1501355061568874
72629	 1501355061641503
451885	 1501355062093388
74453	 1501355062167841
453569	 1501355062621410
72559	 1501355062693969
452498	 1501355063146467
73461	 1501355063219928
456694	 1501355063676622
69460	 1501355063746082
449780	 1501355064195862
76706	 1501355064272568
455606	 1501355064728174
70633	 1501355064798807
450442	 1501355065249249
77330	 1501355065326579
455238	 1501355065781817
70617	 1501355065852434
449662	 1501355066302096
75998	 1501355066378094
454633	 1501355066832727
71279	 1501355066904006
451872	 1501355067355878
74794	 1501355067430672
456136	 1501355067886808
69828	 1501355067956636
451396	 1501355068408032
75072	 1501355068483104
454833	 1501355068937937
70908	 1501355069008845
451669	 1501355069460514
75154	 1501355069535668
453364	 1501355069989032
72407	 1501355070061439
451963	 1501355070513402
74614	 1501355070588016
454481	 1501355071042497
71807	 1501355071114304
452597	 1501355071566901
73999	 1501355071640900
452426	 1501355072093326
73855	 1501355072167181
452222	 1501355072619403
73686	 1501355072693089
450945	 1501355073144034
75150	 1501355073219184
454700	 1501355073673884
72631	 1501355073746515
448816	 1501355074195331
77040	 1501355074272371
453806	 1501355074726177
71713	 1501355074797890
450135	 1501355075248025
77211	 1501355075325236
454645	 1501355075779881
70609	 1501355075850490
450156	 1501355076300646
75978	 1501355076376624
454895	 1501355076831519
70682	 1501355076902201
451649	 1501355077353850
74689	 1501355077428539
455826	 1501355077884365
70412	 1501355077954777
452196	 1501355078406973
74011	 1501355078480984
455804	 1501355078936788
70380	 1501355079007168
451829	 1501355079458997
75112	 1501355079534109
454177	 1501355079988286
71779	 1501355080060065
451581	 1501355080511646
74103	 1501355080585749
454128	 1501355081039877
72104	 1501355081111981
452407	 1501355081564388
73563	 1501355081637951
453324	 1501355082091275
73300	 1501355082164575
452454	 1501355082617029
74261	 1501355082691290
453326	 1501355083144616
72357	 1501355083216973
453894	 1501355083670867
72190	 1501355083743057
450891	 1501355084193948
75707	 1501355084269655
454350	 1501355084724005
71511	 1501355084795516
451476	 1501355085246992
75362	 1501355085322354
453893	 1501355085776247
71817	 1501355085848064
451626	 1501355086299690
74724	 1501355086374414
453539	 1501355086827953
72030	 1501355086899983
452766	 1501355087352749
73962	 1501355087426711
454274	 1501355087880985
71625	 1501355087952610
453222	 1501355088405832
