# /lscratch1/kbferre/app-traces/mutrino/sparc/128/rank-000.txt
 delta	 tstmp
66	 1511283947497765
634161	 1511283948131926
988356	 1511283949120282
11835	 1511283949132117
5049	 1511283949137166
477	 1511283949137643
126	 1511283949137769
127	 1511283949137896
95	 1511283949137991
111	 1511283949138102
120	 1511283949138222
139	 1511283949138361
633357	 1511283949771718
989923	 1511283950761641
12207	 1511283950773848
5024	 1511283950778872
452	 1511283950779324
95	 1511283950779419
156	 1511283950779575
121	 1511283950779696
99	 1511283950779795
117	 1511283950779912
124	 1511283950780036
634224	 1511283951414260
988675	 1511283952402935
13885	 1511283952416820
5040	 1511283952421860
466	 1511283952422326
94	 1511283952422420
156	 1511283952422576
77	 1511283952422653
118	 1511283952422771
133	 1511283952422904
158	 1511283952423062
632798	 1511283953055860
989829	 1511283954045689
12903	 1511283954058592
5056	 1511283954063648
430	 1511283954064078
135	 1511283954064213
116	 1511283954064329
115	 1511283954064444
134	 1511283954064578
119	 1511283954064697
102	 1511283954064799
633466	 1511283954698265
989831	 1511283955688096
13166	 1511283955701262
5083	 1511283955706345
389	 1511283955706734
150	 1511283955706884
124	 1511283955707008
111	 1511283955707119
93	 1511283955707212
98	 1511283955707310
135	 1511283955707445
634642	 1511283956342087
1000172	 1511283957342259
5473	 1511283957347732
5017	 1511283957352749
501	 1511283957353250
111	 1511283957353361
124	 1511283957353485
104	 1511283957353589
118	 1511283957353707
133	 1511283957353840
93	 1511283957353933
634291	 1511283957988224
989657	 1511283958977881
11900	 1511283958989781
5047	 1511283958994828
352	 1511283958995180
39	 1511283958995219
39	 1511283958995258
61	 1511283958995319
35	 1511283958995354
81	 1511283958995435
74	 1511283958995509
634305	 1511283959629814
988575	 1511283960618389
13342	 1511283960631731
5015	 1511283960636746
436	 1511283960637182
145	 1511283960637327
122	 1511283960637449
101	 1511283960637550
125	 1511283960637675
165	 1511283960637840
110	 1511283960637950
633364	 1511283961271314
989001	 1511283962260315
11811	 1511283962272126
5018	 1511283962277144
501	 1511283962277645
115	 1511283962277760
167	 1511283962277927
112	 1511283962278039
103	 1511283962278142
95	 1511283962278237
135	 1511283962278372
633345	 1511283962911717
990175	 1511283963901892
11447	 1511283963913339
5021	 1511283963918360
486	 1511283963918846
118	 1511283963918964
105	 1511283963919069
92	 1511283963919161
138	 1511283963919299
124	 1511283963919423
113	 1511283963919536
634079	 1511283964553615
988731	 1511283965542346
12575	 1511283965554921
5044	 1511283965559965
347	 1511283965560312
29	 1511283965560341
35	 1511283965560376
33	 1511283965560409
31	 1511283965560440
44	 1511283965560484
45	 1511283965560529
633969	 1511283966194498
987704	 1511283967182202
11826	 1511283967194028
5013	 1511283967199041
357	 1511283967199398
18	 1511283967199416
16	 1511283967199432
16	 1511283967199448
17	 1511283967199465
16	 1511283967199481
15	 1511283967199496
634086	 1511283967833582
987889	 1511283968821471
12889	 1511283968834360
4925	 1511283968839285
406	 1511283968839691
19	 1511283968839710
16	 1511283968839726
16	 1511283968839742
17	 1511283968839759
16	 1511283968839775
15	 1511283968839790
634074	 1511283969473864
988086	 1511283970461950
12188	 1511283970474138
4993	 1511283970479131
379	 1511283970479510
19	 1511283970479529
16	 1511283970479545
15	 1511283970479560
18	 1511283970479578
30	 1511283970479608
16	 1511283970479624
632675	 1511283971112299
989149	 1511283972101448
12024	 1511283972113472
4985	 1511283972118457
330	 1511283972118787
19	 1511283972118806
16	 1511283972118822
29	 1511283972118851
27	 1511283972118878
30	 1511283972118908
26	 1511283972118934
635024	 1511283972753958
987796	 1511283973741754
12364	 1511283973754118
4940	 1511283973759058
408	 1511283973759466
18	 1511283973759484
17	 1511283973759501
16	 1511283973759517
15	 1511283973759532
16	 1511283973759548
16	 1511283973759564
633531	 1511283974393095
988877	 1511283975381972
12819	 1511283975394791
4987	 1511283975399778
387	 1511283975400165
30	 1511283975400195
16	 1511283975400211
16	 1511283975400227
15	 1511283975400242
16	 1511283975400258
17	 1511283975400275
633449	 1511283976033724
988185	 1511283977021909
12063	 1511283977033972
5023	 1511283977038995
383	 1511283977039378
20	 1511283977039398
16	 1511283977039414
16	 1511283977039430
17	 1511283977039447
15	 1511283977039462
16	 1511283977039478
634405	 1511283977673883
989300	 1511283978663183
11869	 1511283978675052
5088	 1511283978680140
244	 1511283978680384
18	 1511283978680402
16	 1511283978680418
16	 1511283978680434
27	 1511283978680461
26	 1511283978680487
16	 1511283978680503
634133	 1511283979314636
988338	 1511283980302974
11783	 1511283980314757
4966	 1511283980319723
378	 1511283980320101
26	 1511283980320127
22	 1511283980320149
20	 1511283980320169
27	 1511283980320196
26	 1511283980320222
16	 1511283980320238
634339	 1511283980954577
988827	 1511283981943404
11297	 1511283981954701
4921	 1511283981959622
411	 1511283981960033
19	 1511283981960052
17	 1511283981960069
15	 1511283981960084
31	 1511283981960115
16	 1511283981960131
16	 1511283981960147
634454	 1511283982594601
988024	 1511283983582625
12916	 1511283983595541
4989	 1511283983600530
415	 1511283983600945
18	 1511283983600963
27	 1511283983600990
16	 1511283983601006
26	 1511283983601032
27	 1511283983601059
20	 1511283983601079
634408	 1511283984235487
987907	 1511283985223394
12984	 1511283985236378
4955	 1511283985241333
430	 1511283985241763
19	 1511283985241782
16	 1511283985241798
16	 1511283985241814
16	 1511283985241830
16	 1511283985241846
16	 1511283985241862
634335	 1511283985876197
989329	 1511283986865526
11503	 1511283986877029
4942	 1511283986881971
483	 1511283986882454
18	 1511283986882472
29	 1511283986882501
15	 1511283986882516
33	 1511283986882549
15	 1511283986882564
16	 1511283986882580
634763	 1511283987517343
986677	 1511283988504020
11956	 1511283988515976
4995	 1511283988520971
383	 1511283988521354
20	 1511283988521374
16	 1511283988521390
17	 1511283988521407
25	 1511283988521432
16	 1511283988521448
16	 1511283988521464
633276	 1511283989154740
990999	 1511283990145739
19776	 1511283990165515
5103	 1511283990170618
229	 1511283990170847
26	 1511283990170873
17	 1511283990170890
24	 1511283990170914
29	 1511283990170943
18	 1511283990170961
31	 1511283990170992
634152	 1511283990805144
987727	 1511283991792871
12029	 1511283991804900
4940	 1511283991809840
393	 1511283991810233
19	 1511283991810252
17	 1511283991810269
16	 1511283991810285
16	 1511283991810301
16	 1511283991810317
15	 1511283991810332
634469	 1511283992444801
988801	 1511283993433602
13092	 1511283993446694
4917	 1511283993451611
403	 1511283993452014
19	 1511283993452033
16	 1511283993452049
27	 1511283993452076
16	 1511283993452092
16	 1511283993452108
16	 1511283993452124
634250	 1511283994086374
988411	 1511283995074785
12467	 1511283995087252
4967	 1511283995092219
368	 1511283995092587
20	 1511283995092607
16	 1511283995092623
28	 1511283995092651
16	 1511283995092667
16	 1511283995092683
31	 1511283995092714
635589	 1511283995728303
997026	 1511283996725329
11852	 1511283996737181
4989	 1511283996742170
334	 1511283996742504
20	 1511283996742524
28	 1511283996742552
16	 1511283996742568
17	 1511283996742585
16	 1511283996742601
16	 1511283996742617
635563	 1511283997378180
1013883	 1511283998392063
24621	 1511283998416684
4930	 1511283998421614
439	 1511283998422053
21	 1511283998422074
30	 1511283998422104
30	 1511283998422134
16	 1511283998422150
17	 1511283998422167
17	 1511283998422184
634309	 1511283999056493
1015376	 1511284000071869
24249	 1511284000096118
4970	 1511284000101088
412	 1511284000101500
19	 1511284000101519
27	 1511284000101546
17	 1511284000101563
28	 1511284000101591
20	 1511284000101611
25	 1511284000101636
636273	 1511284000737909
1008596	 1511284001746505
17403	 1511284001763908
4926	 1511284001768834
482	 1511284001769316
22	 1511284001769338
32	 1511284001769370
18	 1511284001769388
17	 1511284001769405
16	 1511284001769421
17	 1511284001769438
635370	 1511284002404808
989065	 1511284003393873
11937	 1511284003405810
5065	 1511284003410875
327	 1511284003411202
27	 1511284003411229
17	 1511284003411246
34	 1511284003411280
28	 1511284003411308
23	 1511284003411331
19	 1511284003411350
634648	 1511284004045998
989512	 1511284005035510
12733	 1511284005048243
4929	 1511284005053172
478	 1511284005053650
25	 1511284005053675
30	 1511284005053705
25	 1511284005053730
23	 1511284005053753
21	 1511284005053774
27	 1511284005053801
635215	 1511284005689016
988919	 1511284006677935
11451	 1511284006689386
5013	 1511284006694399
324	 1511284006694723
30	 1511284006694753
28	 1511284006694781
19	 1511284006694800
31	 1511284006694831
24	 1511284006694855
31	 1511284006694886
636783	 1511284007331669
990810	 1511284008322479
12671	 1511284008335150
4983	 1511284008340133
527	 1511284008340660
28	 1511284008340688
35	 1511284008340723
31	 1511284008340754
36	 1511284008340790
25	 1511284008340815
33	 1511284008340848
635572	 1511284008976420
1008332	 1511284009984752
11954	 1511284009996706
