# /lscratch1/kbferre/app-traces/mutrino/lulesh/125/rank-000.txt
 delta	 tstmp
14854	 1503728498572915
14879	 1503728498587794
14827	 1503728498602621
14851	 1503728498617472
14874	 1503728498632346
14852	 1503728498647198
14862	 1503728498662060
14875	 1503728498676935
14906	 1503728498691841
14815	 1503728498706656
14866	 1503728498721522
14895	 1503728498736417
14866	 1503728498751283
14909	 1503728498766192
14871	 1503728498781063
14827	 1503728498795890
14862	 1503728498810752
14802	 1503728498825554
14936	 1503728498840490
14853	 1503728498855343
14916	 1503728498870259
14836	 1503728498885095
14898	 1503728498899993
14888	 1503728498914881
14885	 1503728498929766
14819	 1503728498944585
14924	 1503728498959509
14853	 1503728498974362
14866	 1503728498989228
14836	 1503728499004064
14963	 1503728499019027
14869	 1503728499033896
14911	 1503728499048807
14920	 1503728499063727
14910	 1503728499078637
14921	 1503728499093558
14899	 1503728499108457
14909	 1503728499123366
14896	 1503728499138262
14915	 1503728499153177
14950	 1503728499168127
14895	 1503728499183022
14823	 1503728499197845
14915	 1503728499212760
14919	 1503728499227679
14897	 1503728499242576
14924	 1503728499257500
21126	 1503728499278626
14954	 1503728499293580
33119	 1503728499326699
20965	 1503728499347664
21359	 1503728499369023
20120	 1503728499389143
17549	 1503728499406692
17543	 1503728499424235
17540	 1503728499441775
17793	 1503728499459568
17417	 1503728499476985
17537	 1503728499494522
17593	 1503728499512115
17411	 1503728499529526
17620	 1503728499547146
17571	 1503728499564717
17439	 1503728499582156
17587	 1503728499599743
17302	 1503728499617045
17498	 1503728499634543
17500	 1503728499652043
17284	 1503728499669327
17437	 1503728499686764
17543	 1503728499704307
17384	 1503728499721691
17489	 1503728499739180
17426	 1503728499756606
17406	 1503728499774012
17405	 1503728499791417
17417	 1503728499808834
17466	 1503728499826300
17417	 1503728499843717
17387	 1503728499861104
17404	 1503728499878508
17506	 1503728499896014
17173	 1503728499913187
17467	 1503728499930654
17241	 1503728499947895
17275	 1503728499965170
17375	 1503728499982545
17298	 1503728499999843
17169	 1503728500017012
17478	 1503728500034490
17259	 1503728500051749
