# /lscratch1/kbferre/app-traces/mutrino/milc/128/rank-000.txt
 delta	 tstmp
345	 1504215489175173
350	 1504215489175523
334	 1504215489175857
357	 1504215489176214
340	 1504215489176554
358	 1504215489176912
342	 1504215489177254
366	 1504215489177620
346	 1504215489177966
353	 1504215489178319
483	 1504215489178802
386	 1504215489179188
346	 1504215489179534
333	 1504215489179867
327	 1504215489180194
342	 1504215489180536
338	 1504215489180874
336	 1504215489181210
332	 1504215489181542
348	 1504215489181890
337	 1504215489182227
342	 1504215489182569
330	 1504215489182899
344	 1504215489183243
338	 1504215489183581
343	 1504215489183924
375	 1504215489184299
357	 1504215489184656
346	 1504215489185002
338	 1504215489185340
341	 1504215489185681
355	 1504215489186036
443	 1504215489186479
414	 1504215489186893
334	 1504215489187227
355	 1504215489187582
339	 1504215489187921
336	 1504215489188257
327	 1504215489188584
347	 1504215489188931
336	 1504215489189267
342	 1504215489189609
333	 1504215489189942
347	 1504215489190289
344	 1504215489190633
326	 1504215489190959
328	 1504215489191287
337	 1504215489191624
337	 1504215489191961
334	 1504215489192295
326	 1504215489192621
342	 1504215489192963
376	 1504215489193339
764	 1504215489194103
399	 1504215489194502
774	 1504215489195276
379	 1504215489195655
686	 1504215489196341
420	 1504215489196761
764	 1504215489197525
348	 1504215489197873
352	 1504215489198225
343	 1504215489198568
366	 1504215489198934
339	 1504215489199273
349	 1504215489199622
406	 1504215489200028
451	 1504215489200479
365	 1504215489200844
364	 1504215489201208
338	 1504215489201546
363	 1504215489201909
347	 1504215489202256
353	 1504215489202609
332	 1504215489202941
358	 1504215489203299
357	 1504215489203656
409	 1504215489204065
461	 1504215489204526
433	 1504215489204959
618	 1504215489205577
397	 1504215489205974
328	 1504215489206302
363	 1504215489206665
336	 1504215489207001
333	 1504215489207334
322	 1504215489207656
344	 1504215489208000
333	 1504215489208333
339	 1504215489208672
331	 1504215489209003
348	 1504215489209351
336	 1504215489209687
336	 1504215489210023
335	 1504215489210358
345	 1504215489210703
340	 1504215489211043
341	 1504215489211384
332	 1504215489211716
353	 1504215489212069
340	 1504215489212409
341	 1504215489212750
328	 1504215489213078
343	 1504215489213421
339	 1504215489213760
358	 1504215489214118
340	 1504215489214458
350	 1504215489214808
338	 1504215489215146
328	 1504215489215474
333	 1504215489215807
336	 1504215489216143
342	 1504215489216485
333	 1504215489216818
329	 1504215489217147
384	 1504215489217531
644	 1504215489218175
368	 1504215489218543
73	 1504215489218616
360	 1504215489218976
329	 1504215489219305
343	 1504215489219648
323	 1504215489219971
354	 1504215489220325
730	 1504215489221055
447	 1504215489221502
57	 1504215489221559
364	 1504215489221923
340	 1504215489222263
364	 1504215489222627
317	 1504215489222944
341	 1504215489223285
612	 1504215489223897
327	 1504215489224224
57	 1504215489224281
412	 1504215489224693
360	 1504215489225053
336	 1504215489225389
435	 1504215489225824
442	 1504215489226266
757	 1504215489227023
316	 1504215489227339
58	 1504215489227397
341	 1504215489227738
331	 1504215489228069
327	 1504215489228396
315	 1504215489228711
326	 1504215489229037
601	 1504215489229638
318	 1504215489229956
59	 1504215489230015
347	 1504215489230362
327	 1504215489230689
319	 1504215489231008
315	 1504215489231323
328	 1504215489231651
607	 1504215489232258
316	 1504215489232574
56	 1504215489232630
339	 1504215489232969
335	 1504215489233304
321	 1504215489233625
315	 1504215489233940
330	 1504215489234270
704	 1504215489234974
361	 1504215489235335
55	 1504215489235390
341	 1504215489235731
348	 1504215489236079
322	 1504215489236401
316	 1504215489236717
325	 1504215489237042
596	 1504215489237638
316	 1504215489237954
62	 1504215489238016
340	 1504215489238356
324	 1504215489238680
312	 1504215489238992
310	 1504215489239302
324	 1504215489239626
321	 1504215489239947
345	 1504215489240292
329	 1504215489240621
356	 1504215489240977
338	 1504215489241315
347	 1504215489241662
331	 1504215489241993
338	 1504215489242331
461	 1504215489242792
425	 1504215489243217
334	 1504215489243551
344	 1504215489243895
338	 1504215489244233
327	 1504215489244560
321	 1504215489244881
331	 1504215489245212
321	 1504215489245533
332	 1504215489245865
352	 1504215489246217
346	 1504215489246563
365	 1504215489246928
325	 1504215489247253
346	 1504215489247599
328	 1504215489247927
371	 1504215489248298
330	 1504215489248628
319	 1504215489248947
341	 1504215489249288
332	 1504215489249620
319	 1504215489249939
408	 1504215489250347
424	 1504215489250771
322	 1504215489251093
324	 1504215489251417
326	 1504215489251743
338	 1504215489252081
351	 1504215489252432
318	 1504215489252750
329	 1504215489253079
322	 1504215489253401
329	 1504215489253730
322	 1504215489254052
345	 1504215489254397
512	 1504215489254909
332	 1504215489255241
319	 1504215489255560
318	 1504215489255878
327	 1504215489256205
325	 1504215489256530
318	 1504215489256848
329	 1504215489257177
330	 1504215489257507
335	 1504215489257842
315	 1504215489258157
374	 1504215489258531
515	 1504215489259046
361	 1504215489259407
395	 1504215489259802
318	 1504215489260120
329	 1504215489260449
334	 1504215489260783
323	 1504215489261106
313	 1504215489261419
327	 1504215489261746
327	 1504215489262073
361	 1504215489262434
319	 1504215489262753
355	 1504215489263108
339	 1504215489263447
341	 1504215489263788
321	 1504215489264109
346	 1504215489264455
391	 1504215489264846
349	 1504215489265195
334	 1504215489265529
346	 1504215489265875
418	 1504215489266293
441	 1504215489266734
353	 1504215489267087
339	 1504215489267426
327	 1504215489267753
334	 1504215489268087
336	 1504215489268423
360	 1504215489268783
341	 1504215489269124
323	 1504215489269447
346	 1504215489269793
330	 1504215489270123
389	 1504215489270512
326	 1504215489270838
332	 1504215489271170
343	 1504215489271513
334	 1504215489271847
332	 1504215489272179
354	 1504215489272533
361	 1504215489272894
331	 1504215489273225
374	 1504215489273599
609	 1504215489274208
386	 1504215489274594
329	 1504215489274923
318	 1504215489275241
318	 1504215489275559
328	 1504215489275887
323	 1504215489276210
327	 1504215489276537
317	 1504215489276854
338	 1504215489277192
327	 1504215489277519
323	 1504215489277842
316	 1504215489278158
335	 1504215489278493
325	 1504215489278818
316	 1504215489279134
426	 1504215489279560
433	 1504215489279993
329	 1504215489280322
321	 1504215489280643
320	 1504215489280963
331	 1504215489281294
326	 1504215489281620
326	 1504215489281946
488	 1504215489282434
404	 1504215489282838
356	 1504215489283194
357	 1504215489283551
318	 1504215489283869
327	 1504215489284196
322	 1504215489284518
341	 1504215489284859
330	 1504215489285189
364	 1504215489285553
351	 1504215489285904
339	 1504215489286243
324	 1504215489286567
343	 1504215489286910
331	 1504215489287241
348	 1504215489287589
573	 1504215489288162
405	 1504215489288567
372	 1504215489288939
331	 1504215489289270
314	 1504215489289584
334	 1504215489289918
336	 1504215489290254
334	 1504215489290588
336	 1504215489290924
346	 1504215489291270
346	 1504215489291616
340	 1504215489291956
373	 1504215489292329
332	 1504215489292661
369	 1504215489293030
331	 1504215489293361
357	 1504215489293718
406	 1504215489294124
417	 1504215489294541
322	 1504215489294863
317	 1504215489295180
339	 1504215489295519
322	 1504215489295841
323	 1504215489296164
321	 1504215489296485
332	 1504215489296817
340	 1504215489297157
319	 1504215489297476
319	 1504215489297795
324	 1504215489298119
332	 1504215489298451
