# /lscratch1/kbferre/app-traces/mutrino/hpcg/128/rank-000.txt
 delta	 tstmp
963622	 1503712643607788
185092	 1503712643792880
21928	 1503712643814808
962585	 1503712644777393
185082	 1503712644962475
22759	 1503712644985234
972393	 1503712645957627
180018	 1503712646137645
18115	 1503712646155760
983701	 1503712647139461
179787	 1503712647319248
17216	 1503712647336464
988626	 1503712648325090
179159	 1503712648504249
16246	 1503712648520495
971987	 1503712649492482
178621	 1503712649671103
16518	 1503712649687621
970674	 1503712650658295
179314	 1503712650837609
15606	 1503712650853215
970598	 1503712651823813
178813	 1503712652002626
16530	 1503712652019156
970073	 1503712652989229
179267	 1503712653168496
16166	 1503712653184662
970981	 1503712654155643
179174	 1503712654334817
16263	 1503712654351080
970836	 1503712655321916
178456	 1503712655500372
16410	 1503712655516782
970514	 1503712656487296
178162	 1503712656665458
16724	 1503712656682182
968624	 1503712657650806
178437	 1503712657829243
16683	 1503712657845926
969414	 1503712658815340
178578	 1503712658993918
16483	 1503712659010401
970526	 1503712659980927
179171	 1503712660160098
16204	 1503712660176302
972137	 1503712661148439
179006	 1503712661327445
16257	 1503712661343702
969958	 1503712662313660
178741	 1503712662492401
16534	 1503712662508935
969664	 1503712663478599
178318	 1503712663656917
16583	 1503712663673500
970262	 1503712664643762
179091	 1503712664822853
16165	 1503712664839018
969576	 1503712665808594
178718	 1503712665987312
16406	 1503712666003718
969762	 1503712666973480
178788	 1503712667152268
16443	 1503712667168711
97	 1503712667168808
188746	 1503712667357554
976992	 1503712668334546
172242	 1503712668506788
16448	 1503712668523236
970220	 1503712669493456
177918	 1503712669671374
16980	 1503712669688354
969233	 1503712670657587
179089	 1503712670836676
16069	 1503712670852745
969702	 1503712671822447
178671	 1503712672001118
16221	 1503712672017339
970091	 1503712672987430
178993	 1503712673166423
16478	 1503712673182901
969432	 1503712674152333
179033	 1503712674331366
16057	 1503712674347423
969668	 1503712675317091
178424	 1503712675495515
16394	 1503712675511909
978709	 1503712676490618
181113	 1503712676671731
18169	 1503712676689900
969111	 1503712677659011
178846	 1503712677837857
17465	 1503712677855322
969550	 1503712678824872
178218	 1503712679003090
18200	 1503712679021290
969205	 1503712679990495
178842	 1503712680169337
16676	 1503712680186013
969055	 1503712681155068
178832	 1503712681333900
17044	 1503712681350944
969619	 1503712682320563
178546	 1503712682499109
17762	 1503712682516871
969648	 1503712683486519
178774	 1503712683665293
17471	 1503712683682764
968347	 1503712684651111
179022	 1503712684830133
17509	 1503712684847642
969194	 1503712685816836
178888	 1503712685995724
17045	 1503712686012769
969546	 1503712686982315
178724	 1503712687161039
17259	 1503712687178298
969332	 1503712688147630
178966	 1503712688326596
16631	 1503712688343227
969323	 1503712689312550
178759	 1503712689491309
17245	 1503712689508554
969905	 1503712690478459
178484	 1503712690656943
17638	 1503712690674581
976448	 1503712691651029
179083	 1503712691830112
19295	 1503712691849407
980972	 1503712692830379
183307	 1503712693013686
17108	 1503712693030794
984771	 1503712694015565
179130	 1503712694194695
17085	 1503712694211780
971826	 1503712695183606
180854	 1503712695364460
17236	 1503712695381696
971468	 1503712696353164
181036	 1503712696534200
17354	 1503712696551554
971866	 1503712697523420
180336	 1503712697703756
17210	 1503712697720966
971536	 1503712698692502
180982	 1503712698873484
17245	 1503712698890729
971630	 1503712699862359
180504	 1503712700042863
17081	 1503712700059944
971093	 1503712701031037
179934	 1503712701210971
17186	 1503712701228157
970194	 1503712702198351
180890	 1503712702379241
16984	 1503712702396225
970125	 1503712703366350
180849	 1503712703547199
17129	 1503712703564328
970763	 1503712704535091
178908	 1503712704713999
17717	 1503712704731716
973356	 1503712705705072
185643	 1503712705890715
17690	 1503712705908405
972050	 1503712706880455
185260	 1503712707065715
17848	 1503712707083563
971533	 1503712708055096
185647	 1503712708240743
17031	 1503712708257774
971480	 1503712709229254
185763	 1503712709415017
17447	 1503712709432464
972087	 1503712710404551
185159	 1503712710589710
17306	 1503712710607016
971446	 1503712711578462
184109	 1503712711762571
17975	 1503712711780546
971528	 1503712712752074
185146	 1503712712937220
17943	 1503712712955163
971360	 1503712713926523
185811	 1503712714112334
18159	 1503712714130493
972060	 1503712715102553
185211	 1503712715287764
17595	 1503712715305359
970755	 1503712716276114
186037	 1503712716462151
17641	 1503712716479792
971988	 1503712717451780
185219	 1503712717636999
17375	 1503712717654374
971094	 1503712718625468
184935	 1503712718810403
17733	 1503712718828136
971461	 1503712719799597
185010	 1503712719984607
18089	 1503712720002696
971167	 1503712720973863
186103	 1503712721159966
17656	 1503712721177622
971273	 1503712722148895
186047	 1503712722334942
17595	 1503712722352537
971246	 1503712723323783
185548	 1503712723509331
17622	 1503712723526953
972024	 1503712724498977
184452	 1503712724683429
18078	 1503712724701507
971807	 1503712725673314
185071	 1503712725858385
18010	 1503712725876395
1634	 1503712725878029
1668	 1503712725879697
9	 1503712725879706
