# CTH ST performance 
# 
# nodes         no-noise
128             235.311         235.18 235.18 235.18
256             235.426         235.336 235.371 235.399
512             235.853         235.494 235.549 235.586
1024            236.043         235.675 235.713 235.762
2048            236.246         235.855 235.926 235.991
4096            236.564         236.012 236.1 236.147
8192            236.794         236.238 236.275 236.322
16384           236.988         236.433 236.486 236.54
32768           237.187         236.612 236.701 236.751
65536           237.372         - - -
131072          237.564         - - -
