# 
# miniFE application perfomrance
# 16 runs per datapoint
#
# nodes         
128             304.417         304.417 304.417 304.417 
256             304.423         304.423 304.423 304.423 
512             304.433         304.429 304.43 304.431
1024            304.44          304.437 304.438 304.44
2048            304.448         304.447 304.447 304.448
4096            304.456         304.454 304.455 304.455
8192            304.463         304.463 304.463 304.464
16384           304.471         304.47  304.471 304.471
32768           304.478         304.478 304.479 304.48
65536           304.488         304.487 304.488 304.489
131072          304.496         304.495 304.496 304.497
