# LAMMPS crack input performance 
# 16 total runs
# nodes         no-noise
64              49.42           49.4519 49.4519 49.4519
128             49.4804         49.5089 49.51 49.5107
256             49.5634         49.5792 49.5821 49.583
512             49.6485         49.6555 49.6563 49.6584
1024            49.7369         49.7281 49.7288 49.7298
2048            49.8292         49.8 49.8006 49.8024
4096            49.9219         49.8709 49.8718 49.8725
8192            50.0112         49.942 49.9427 49.9439
16384           50.1008         50.0128 50.0137 50.0145
32768           50.1915         50.0834 50.0851 50.0877
65536           50.2725         - - -
131072          -               - - -
