# 
# 
# 16 runs per datapoint
#
# nodes         
64              47.3428         47.3427 47.3428 47.3429
128             47.4096         47.4206 47.4214 47.4222
256             47.5113         47.5241 47.5257 47.5276
512             47.6653         47.6633 47.6648 47.6661
1024            47.874          47.8738 47.8756 47.8766
2048            48.2265         48.2246 48.2267 48.2284
4096            48.8596         48.8591 48.8599 48.8618
8192            -               - - -
16384           -               - - -
32768           -               - - -
65536           -               - - -
131072          -               - - -
