# CTH ST performance 
# 
# nodes         no-noise
128             235.311         235.18 235.216 235.307
256             235.426         235.327 235.455 235.593
512             235.853         235.537 235.682 235.973
1024            236.043         235.774 236.004 236.282
2048            236.246         235.898 236.398 236.896
4096            236.564         236.769 237.15 237.648
8192            236.794         237.811 238.514 239.595
16384           236.988         242.948 244.174 245.763
32768           237.187         242.948 244.174 245.763
65536           237.372         - - -
131072          237.564         - - -
