# 
# miniFE application perfomrance
# 16 runs per datapoint
#
# nodes         
128             304.417         304.417 304.479 304.659
256             304.423         304.423 304.51 304.763
512             304.433         304.431 304.66 305.017
1024            304.44          304.439 304.814 305.109
2048            304.448         304.82 305.257 305.939
4096            304.456         305.591 306.429 307.125
8192            304.463         307.108 307.908 309.064
16384           304.471         309.771 311.133 312.43
32768           304.478         314.045 316.446 318.96
65536           304.488         323.236 325.765 327.683
131072          304.496         336.151 338.636 341.088
