# 
# 
# 16 runs per datapoint
#
# nodes         
64              47.3428         47.3428 47.3428 47.3429
128             47.4096         47.4198 47.421 47.4222
256             47.5113s        47.5237 47.5327 47.6418
512             47.6653         47.6637 47.6976 47.9247
1024            47.874          47.8748 47.9915 48.2737
2048            48.2265         48.2258 48.4302 48.6216
4096            48.8596         48.9943 49.3833 49.6517
8192            -               - - -
16384           -               - - -
32768           -               - - -
65536           -               - - -
131072          -               - - -
