# 
# 
# 16 runs per datapoint
#
# nodes         
64               47.3428         47.3428 47.6882 48.1333
128             47.4096         47.6832 48.2166 48.7388
256             47.5113         48.462 49.2887 50.0274
512             47.6653         49.9202 50.9658 51.928
1024            47.874          53.3848 54.464 55.58
2048            48.2265         59.8232 61.9276 64.5733
4096            48.8596         73.4193 78.306 82.3154
8192            -               - - -
16384           -               - - -
32768           -               - - -
65536           -               - - -
131072          -               - - -
