# CTH ST performance 
# 
# nodes         no-noise
128             235.311         236.582 237.199 237.836
256             235.426         238.776 239.709 240.807
512             235.853         242.223 243.246 244.531
1024            236.043         248.497 249.685 252.097
2048            236.246         257.735 259.651 262.084
4096            236.564         274.363 276.367 277.948
8192            236.794         298.974 303.094 309.415
16384           236.988         357.883 363.583 372.832
32768           237.187         564.756 593.711 619.085
65536           237.372         - - -
131072          237.564         - - -
