# 
# MPI_Reduce microbenchmark
# 16 runs per datapoint
#
# nodes         
128             282.526         282.643 282.774 282.972
256             282.639         282.765 282.875 283.029
512             282.751         282.883 283.038 283.33
1024            282.864         283.035 283.173 283.373
2048            282.977         283.221 283.308 283.48
4096            283.09          283.315 283.44 283.605
8192            283.202         283.455 283.603 283.733
16384           283.315         283.566 283.713 283.87
32768           283.428         283.711 283.841 284.036
65536           283.541         283.868 283.984 284.172
131072          -               - - -
